Name,Rating,Hospital Ownership,Mortality,Safety,Patient Experience,Effectiveness of Care,Timeliness,Medical Imaging Efficiency
"CORNING HOSPITAL",4,5,2,3,3,2,2,2
"BUFFALO HOSPITAL",4,7,2,2,3,2,3,2
"MERCY HOSPITAL SPRINGFIELD",3,6,3,2,3,3,2,3
"SAINT PETER'S UNIVERSITY HOSPITAL",2,6,2,1,3,2,1,2
"MERCY HOSPITAL LEBANON",3,6,2,2,1,2,2,2
"RESEARCH MEDICAL CENTER",3,9,2,3,1,2,3,2
"FAITH REGIONAL HEALTH SERVICES",4,5,2,3,2,2,3,2
"SPRING VALLEY HOSPITAL MEDICAL CENTER",2,9,2,1,1,2,1,2
"CHI HEALTH LAKESIDE",3,6,2,1,3,2,3,2
"HOLY FAMILY HOSPITAL",3,9,1,2,1,2,1,2
"ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL SOMERSET",2,5,2,2,1,2,1,1
"COX MEDICAL CENTERS",4,5,2,3,1,2,1,2
"FLUSHING HOSPITAL MEDICAL CENTER",1,5,2,2,1,2,1,2
"VALLEY HOSPITAL MEDICAL CENTER",1,9,3,1,1,2,1,2
"MEMORIAL MEDICAL CENTER",2,9,2,2,1,2,1,1
"ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER",3,5,2,1,3,2,3,2
"SOUTH CENTRAL REG MED CTR",1,2,2,1,1,1,3,1
"FAXTON-ST LUKE'S HEALTHCARE",1,5,3,1,1,2,1,2
"TAWAS ST JOSEPH HOSPITAL",4,1,2,2,3,3,3,1
"BELLEVUE MEDICAL CENTER",3,9,3,2,3,2,3,2
"VIRTUA WEST JERSEY HOSPITALS BERLIN",4,5,1,3,2,2,1,3
"NEWTON MEDICAL CENTER",3,5,2,2,2,2,1,3
"ARNOT OGDEN MEDICAL CENTER",2,5,2,3,1,2,1,3
"KENMORE MERCY HOSPITAL",3,6,2,2,2,2,1,2
"NORTH OTTAWA COMMUNITY HEALTH SYSTEM",3,1,2,2,2,2,2,2
"PUTNAM HOSPITAL CENTER",3,5,2,2,3,2,2,2
"WEST SHORE MEDICAL CENTER",3,7,2,2,2,2,3,2
"UHHS RICHMOND HEIGHTS HOSPITAL",3,9,1,2,1,2,2,2
"PENN HIGHLANDS DUBOIS",3,7,2,3,1,3,2,2
"GHS HILLCREST MEMORIAL HOSPITAL",4,5,2,2,3,2,2,2
"JOHNSON CITY MEDICAL CENTER",2,5,3,2,1,2,2,2
"SANFORD MEDICAL CENTER BISMARCK",3,5,2,2,2,2,2,2
"MEADVILLE MEDICAL CENTER",2,5,3,2,3,2,2,3
"READING HOSPITAL",3,7,1,1,2,3,1,2
"KETTERING MEDICAL CENTER",4,6,2,2,3,2,2,2
"OHSU HOSPITAL AND CLINICS",3,7,2,2,3,2,1,1
"HILLCREST MEDICAL CENTER",2,9,2,2,1,2,1,1
"SAINT ALPHONSUS MEDICAL CENTER - ONTARIO, INC",4,6,2,2,2,2,2,2
"HOLY SPIRIT HOSPITAL",4,5,2,2,2,2,1,2
"LEXINGTON MEDICAL CENTER",3,1,3,3,3,2,1,3
"ST JOHN MEDICAL CENTER, INC",2,6,3,1,1,2,1,3
"PROVIDENCE NEWBERG MEDICAL CENTER",4,6,2,2,3,2,2,2
"ST LUKE'S HOSPITAL - ANDERSON CAMPUS",4,5,1,2,3,2,2,3
"FIRSTHEALTH MOORE REGIONAL HOSPITAL",4,5,1,2,3,2,1,3
"SAINT THOMAS MIDTOWN HOSPITAL",4,5,2,2,2,2,2,2
"GENESIS HOSPITAL",4,5,1,3,1,3,3,2
"INDIAN PATH MEDICAL CENTER",3,5,2,2,2,2,3,2
"HUGH CHATHAM MEMORIAL HOSPITAL",4,5,2,3,3,2,2,3
"CANONSBURG GENERAL HOSPITAL",2,5,2,2,2,2,3,1
"NORTHSIDE MEDICAL CENTER",2,9,2,1,1,2,1,2
"NAZARETH HOSPITAL",3,5,2,2,1,2,1,2
"UH CLEVELAND MEDICAL CENTER",3,5,1,3,2,1,1,3
"VIDANT EDGECOMBE HOSPITAL",3,2,2,2,3,2,2,2
"PALMETTO HEALTH TUOMEY HOSPITAL",3,5,2,2,2,2,1,2
"CLEARFIELD HOSPITAL",3,7,2,2,1,2,2,1
"COLUMBUS REGIONAL HEALTHCARE SYSTEM",2,7,2,2,2,2,2,2
"KERSHAWHEALTH",4,9,2,2,2,2,2,2
"TENNOVA HEALTHCARE-CLARKSVILLE",2,1,3,1,1,2,1,2
"FRANKLIN WOODS COMMUNITY HOSPITAL",4,5,2,2,3,2,3,2
"WILLAMETTE VALLEY MEDICAL CENTER",3,5,2,2,3,2,3,2
"ROXBOROUGH MEMORIAL HOSPITAL",3,9,2,2,2,2,3,2
"INTEGRIS BASS BAPTIST HEALTH CENTER",4,5,2,2,2,2,3,2
"MAIN LINE HOSPITAL BRYN MAWR CAMPUS",4,5,1,2,3,2,1,2
"ST JOHN MEDICAL CENTER",4,5,2,3,3,2,2,2
"UPPER VALLEY MEDICAL CENTER",3,5,2,3,2,3,2,2
"JOHNSTON HEALTH",3,1,2,2,3,3,2,2
"CAROLINAS HEALTHCARE SYSTEM STANLY",3,5,2,2,1,2,2,1
"RANDOLPH HOSPITAL",4,5,2,3,2,2,2,2
"TENNOVA HEALTHCARE-JEFFERSON MEMORIAL HOSPITAL",3,9,2,2,2,2,3,2
"AVERA HEART HOSPITAL OF SOUTH DAKOTA",5,9,1,3,3,2,3,2
"PARKLAND HEALTH AND HOSPITAL SYSTEM",2,1,2,1,1,1,1,2
"HENRY COUNTY MEDICAL CENTER",3,1,3,3,3,1,3,2
"ST LUKE'S MINERS MEMORIAL HOSPITAL",4,5,2,2,2,2,2,2
"MEMORIAL HOSPITAL OF RHODE ISLAND",3,5,2,3,1,2,1,2
"CALDWELL MEMORIAL HOSPITAL",2,7,3,1,2,2,1,2
"VIDANT BEAUFORT HOSPITAL",3,5,2,3,3,2,2,2
"HAMPTON REGIONAL MEDICAL CENTER",3,5,2,2,2,2,2,2
"OKLAHOMA HEART HOSPITAL SOUTH, LLC",3,10,2,1,3,2,2,1
"CLEVELAND CLINIC",4,5,1,3,3,2,2,3
"OHIO STATE UNIVERSITY HOSPITALS",3,3,1,1,2,2,1,2
"CARTERET GENERAL HOSPITAL",3,9,3,2,3,2,2,2
"ST LUKE'S HOSPITAL",3,7,2,1,2,2,2,2
"EUCLID HOSPITAL",4,7,2,2,3,2,2,2
"METHODIST DALLAS MEDICAL CENTER",3,7,3,3,2,2,1,1
"ST RITA'S MEDICAL CENTER",4,5,2,2,3,2,2,2
"BAY PARK COMMUNITY HOSPITAL",4,7,2,2,3,2,2,2
"HILLCREST BAPTIST MEDICAL CENTER",2,5,2,1,2,2,2,2
"TENNOVA HEALTHCARE-REGIONAL JACKSON",3,9,2,3,2,2,3,2
"REGIONAL HOSPITAL OF SCRANTON",2,6,2,2,1,2,1,2
"BRAZOSPORT REGIONAL HEALTH SYSTEM",3,5,2,2,2,2,1,2
"NASH GENERAL HOSPITAL",2,1,3,1,1,1,1,3
"SANFORD ABERDEEN MEDICAL CENTER",4,5,2,2,3,2,3,2
"SUMMA HEALTH SYSTEM",2,5,2,1,2,2,2,2
"UNIVERSITY HOSPITALS AHUJA MEDICAL CENTER",3,5,1,1,2,2,1,2
"SANFORD USD MEDICAL CENTER",4,7,2,1,3,2,2,3
"LANCASTER REGIONAL MEDICAL CENTER",3,9,2,2,1,2,1,2
"LEGACY EMANUEL MEDICAL CENTER",2,5,2,1,2,2,2,2
"SENTARA ALBEMARLE MEDICAL CENTER",3,1,3,3,2,2,2,2
"VALLEY BAPTIST MEDICAL CENTER- BROWNSVILLE",3,9,2,2,1,2,2,2
"MEDINA HOSPITAL",4,5,2,3,3,2,2,2
"WILKES REGIONAL MEDICAL CENTER",2,2,3,2,2,2,3,2
"NEWBERRY COUNTY MEMORIAL HOSPITAL",4,7,2,3,3,2,2,2
"GRADY MEMORIAL HOSPITAL",4,5,2,2,3,2,2,2
"MCLEOD REGIONAL MEDICAL CENTER-PEE DEE",4,7,2,3,3,2,1,3
"MEMORIAL HERMANN TEXAS MEDICAL CENTER",2,5,3,2,2,2,1,1
"GRAND STRAND REGIONAL MEDICAL CENTER",3,9,1,3,1,3,2,3
"PARK RIDGE HEALTH",3,5,2,2,3,2,2,2
"LAS PALMAS MEDICAL CENTER",2,9,3,2,1,2,2,2
"OHIO VALLEY GENERAL HOSPITAL",2,5,2,2,1,2,3,2
"HOLY REDEEMER HOSPITAL AND MEDICAL CENTER",3,6,2,3,2,2,2,2
"UPMC PRESBYTERIAN SHADYSIDE",2,5,1,1,2,3,2,2
"VIDANT ROANOKE CHOWAN HOSPITAL",3,5,2,2,2,2,2,2
"SOUTHEASTERN OHIO REGIONAL MEDICAL CENTER",3,5,2,1,3,2,3,2
"PALMETTO HEALTH BAPTIST",2,5,2,1,2,2,1,2
"SPARTANBURG MEDICAL CENTER",3,1,2,1,3,2,1,3
"GEISINGER-LEWISTOWN HOSPITAL",3,5,1,2,1,2,2,2
"TAKOMA REGIONAL HOSPITAL",3,5,2,2,2,2,3,2
"HERITAGE VALLEY BEAVER",2,5,2,1,2,2,2,2
"TENNOVA HEALTHCARE",2,9,3,2,1,2,1,2
"TENNOVA HEALTHCARE-HARTON",2,7,2,1,1,2,3,2
"EINSTEIN MEDICAL CENTER MONTGOMERY",3,5,2,3,2,2,2,2
"DOYLESTOWN HOSPITAL",4,5,2,3,3,2,1,2
"TENNOVA HEALTHCARE-CLEVELAND",2,9,3,1,1,2,1,2
"LAUGHLIN MEMORIAL HOSPITAL, INC",3,5,2,1,2,2,3,2
"HILLCREST HOSPITAL SOUTH",3,9,2,2,1,2,2,1
"BAPTIST MEMORIAL HOSPITAL",2,5,1,1,1,2,2,3
"PROVIDENCE ST VINCENT MEDICAL CENTER",3,7,2,1,3,1,2,2
"ALAMANCE REGIONAL MEDICAL CENTER",3,5,3,3,2,2,2,2
"UPMC ALTOONA",2,5,3,2,1,2,2,2
"ROANE MEDICAL CENTER",3,1,2,3,1,2,2,2
"LANDMARK MEDICAL CENTER",3,5,2,3,1,2,2,2
"BAYLOR MEDICAL CENTER AT IRVING",3,5,2,2,2,2,2,2
"PARKWEST MEDICAL CENTER",3,5,3,2,3,2,1,2
"SAMPSON REGIONAL MEDICAL CENTER",3,2,2,3,2,2,2,2
"GETTYSBURG HOSPITAL",4,7,2,3,3,2,2,1
"PENNSYLVANIA HOSPITAL",3,5,1,2,2,2,1,2
"TRIDENT MEDICAL CENTER",2,9,3,3,1,2,3,2
"HILLCREST HOSPITAL",4,5,1,1,2,2,2,2
"UT SOUTHWESTERN UNIVERSITY HOSPITAL",3,3,2,1,3,3,1,2
"WAKEMED, CARY HOSPITAL",3,5,2,1,2,2,1,3
"MOUNT CARMEL ST ANN'S",3,6,2,1,3,2,2,2
"LEGACY GOOD SAMARITAN MEDICAL CENTER",3,5,2,3,3,2,2,2
"SOUTH POINTE HOSPITAL",3,7,1,2,1,2,3,2
"FORBES HOSPITAL",3,5,2,1,1,2,3,2
"HAYWOOD REGIONAL MEDICAL CENTER",3,1,2,2,2,2,2,2
"UNIVERSITY HOSPITALS - ELYRIA MEDICAL CENTER",3,5,2,2,1,2,2,3
"ERLANGER MEDICAL CENTER",2,1,3,3,1,2,1,2
"WASHINGTON HOSPITAL, THE",3,5,2,3,2,2,3,2
"ALLIANCEHEALTH DEACONESS",3,9,2,3,1,2,2,2
"CAROLINAS MEDICAL CENTER/BEHAV HEALTH",3,1,3,3,2,2,2,2
"INTEGRIS HEALTH EDMOND",3,5,2,2,3,2,3,2
"GREENE MEMORIAL HOSPITAL",3,5,2,2,3,2,3,2
"PROVIDENCE HEALTH CENTER",2,1,3,1,1,2,1,2
"LOWER BUCKS HOSPITAL",3,9,2,3,1,2,3,2
"METROHEALTH SYSTEM",2,7,2,1,1,2,1,2
"SOUTHWESTERN MEDICAL CENTER",3,9,2,1,2,2,2,2
"LANCASTER GENERAL HOSPITAL",4,7,1,1,2,3,2,2
"PALMERTON HOSPITAL",3,7,2,2,1,2,2,2
"UPMC EAST",4,5,2,3,2,2,2,2
"MERCY MEDICAL CENTER",3,1,3,2,1,2,3,2
"PRAIRIE LAKES HOSPITAL",3,5,2,1,2,2,3,2
"DOCTORS HOSPITAL",2,6,2,1,1,2,3,2
"UNIONTOWN HOSPITAL",4,7,2,3,1,2,2,2
"CITIZENS MEDICAL CENTER",5,7,1,3,3,2,3,3
"CHRIST HOSPITAL",4,5,1,1,3,2,1,2
"UNIVERSITY HOSPITALS PORTAGE MEDICAL CENTER",3,5,2,2,1,2,2,2
"MCKENZIE-WILLAMETTE MEDICAL CENTER",3,5,2,3,2,2,2,2
"UPMC NORTHWEST",4,7,2,3,1,2,3,2
"THOMAS JEFFERSON UNIVERSITY HOSPITAL",3,5,1,1,3,3,1,1
"UPMC PASSAVANT",4,5,2,3,2,3,2,2
"ST LUKE'S HOSPITAL BETHLEHEM",4,5,1,2,2,2,1,3
"CARLISLE REGIONAL MEDICAL CENTER",3,9,2,2,2,2,2,2
"SOUTHERN TENNESSEE REGIONAL HLTH SYSTEM WINCHESTER",2,9,2,2,1,2,3,2
"TENNOVA HEALTHCARE-VOLUNTEER MARTIN",3,9,2,2,2,3,3,2
"SYCAMORE SHOALS HOSPITAL",4,5,2,2,3,2,3,2
"PINNACLE HEALTH HOSPITALS",3,7,2,1,3,2,1,2
"MID-COLUMBIA MEDICAL CENTER",3,7,2,1,2,2,2,2
"TRISTAR HORIZON MEDICAL CENTER",3,9,1,2,2,2,3,2
"ASHTABULA COUNTY MEDICAL CENTER",3,5,2,2,1,2,3,2
"MERCER COUNTY JOINT TOWNSHIP COMMUNITY HOSPITAL",4,1,2,2,3,2,3,2
"MOSES TAYLOR HOSPITAL",1,9,3,1,1,2,2,1
"JEANES HOSPITAL",3,5,2,2,1,2,2,2
"FORT HAMILTON HUGHES MEMORIAL HOSPITAL",4,5,2,2,3,2,3,2
"OUR LADY OF FATIMA HOSPITAL",3,5,2,3,2,2,1,2
"NORTHCREST MEDICAL CENTER",3,7,2,2,2,2,3,2
"GOOD SAMARITAN HOSPITAL",3,6,2,3,1,2,2,2
"UNIVERSITY MEDICAL CENTER OF EL PASO",2,1,2,1,1,2,1,2
"UNIVERSITY OF NORTH CAROLINA HOSPITAL",2,3,2,1,3,2,1,3
"CAROLINAS MED CTR-UNIVERSITY",3,1,2,2,2,2,2,3
"PROVIDENCE PORTLAND MEDICAL CENTER",4,6,2,1,3,2,2,2
"JENNERSVILLE REGIONAL HOSPITAL",3,7,2,3,1,2,1,2
"CONEMAUGH MEMORIAL MEDICAL CENTER",2,9,2,1,2,3,3,2
"UPMC HAMOT",3,5,2,2,1,2,2,2
"PIEDMONT MEDICAL CENTER",1,9,3,2,1,2,1,3
"LIVINGSTON REGIONAL HOSPITAL",2,9,3,1,3,2,3,2
"CAROLINA PINES REGIONAL MEDICAL CENTER",2,9,2,1,1,2,2,2
"UNIVERSITY HOSPITALS SAMARITAN MEDICAL CENTER",4,7,2,3,3,2,3,1
"BEAUFORT COUNTY MEMORIAL HOSPITAL",4,7,2,3,2,2,1,3
"PETERSON REGIONAL MEDICAL CENTER",3,5,3,1,3,2,2,2
"GREAT PLAINS REGIONAL MEDICAL CENTER",3,5,2,1,2,2,3,2
"HAHNEMANN UNIVERSITY HOSPITAL",2,9,2,1,1,2,1,2
"O U MEDICAL CENTER",1,9,2,1,1,3,2,1
"TENNOVA HEALTHCARE-LEBANON",3,5,2,3,1,2,2,2
"WOOSTER COMMUNITY HOSPITAL",3,2,2,1,2,2,3,2
"SETON MEDICAL CENTER AUSTIN",3,5,2,2,1,2,2,2
"FORT SANDERS REGIONAL MEDICAL CENTER",4,5,2,3,3,2,1,2
"GOOD SAMARITAN HOSPITAL",3,6,2,1,2,2,2,2
"TRISTAR SUMMIT MEDICAL CENTER",3,9,2,2,1,2,2,2
"FISHER-TITUS HOSPITAL",4,5,2,2,3,2,2,2
"LEHIGH VALLEY HOSPITAL - POCONO",4,5,1,3,2,1,1,2
"WESTERLY HOSPITAL",3,5,2,2,2,2,2,2
"ASANTE ASHLAND COMMUNITY HOSPITAL",4,2,2,2,3,2,3,2
"SOUTHWEST GENERAL HEALTH CENTER",4,5,1,2,3,2,2,1
"ALLIANCEHEALTH WOODWARD",3,9,2,2,2,2,3,1
"BLOUNT MEMORIAL HOSPITAL",2,2,2,2,1,2,3,3
"NOVANT HEALTH BRUNSWICK MEDICAL CENTER",3,7,2,3,2,2,2,2
"ALBERT EINSTEIN MEDICAL CENTER",2,7,2,2,1,2,1,2
"VANDERBILT UNIVERSITY MEDICAL CENTER",3,5,2,3,3,3,1,3
"CHESTER COUNTY HOSPITAL",5,5,1,3,3,2,1,3
"WILLIAMSPORT REGIONAL MEDICAL CENTER",4,7,3,3,3,2,2,2
"GEISINGER WYOMING VALLEY MEDICAL CENTER",3,5,2,1,1,2,1,3
"CAROLINAS HEALTHCARE SYSTEM UNION",2,1,3,1,1,2,2,3
"ST ANTHONY SHAWNEE HOSPITAL",2,5,3,2,3,1,3,1
"NOVANT HEALTH HUNTERSVILLE MEDICAL CENTER",3,5,2,2,1,2,2,3
"ONSLOW MEMORIAL HOSPITAL",3,1,2,3,1,2,1,2
"RIVERSIDE METHODIST HOSPITAL",2,5,3,1,3,2,1,3
"FORT DUNCAN MEDICAL CENTER",3,9,2,2,1,2,1,2
"MCLEOD LORIS  HOSPITAL",3,5,2,2,3,1,3,2
"MARIETTA MEMORIAL HOSPITAL",2,7,2,1,1,2,2,2
"TITUS REGIONAL MEDICAL CENTER",3,1,2,2,2,2,2,1
"MERCY MEDICAL CENTER",3,5,2,1,1,2,2,2
"MONONGAHELA VALLEY HOSPITAL",3,5,1,2,3,2,2,1
"CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI",3,5,2,3,1,2,1,1
"INTEGRIS BAPTIST MEDICAL CENTER, INC",4,5,3,3,3,2,2,2
"ST JOSEPH WARREN HOSPITAL",4,6,2,3,2,2,1,3
"CAROLINA EAST MEDICAL CENTER",5,1,2,3,3,2,1,2
"ROPER HOSPITAL",5,5,2,3,3,2,3,2
"BERGER HOSPITAL",3,2,2,2,2,2,2,2
"SAMARITAN ALBANY GENERAL HOSPITAL",2,6,2,1,2,2,3,2
"LEHIGH VALLEY HOSPITAL - HAZLETON",4,2,1,3,1,1,2,2
"SOMERSET HOSPITAL",2,5,2,1,2,2,3,2
"EASTON HOSPITAL",2,9,1,1,2,2,2,2
"AIKEN REGIONAL MEDICAL CENTER",2,9,3,2,2,2,2,3
"CAROLINAS HEALTHCARE SYSTEM-BLUE RIDGE",3,9,2,2,2,2,2,2
"PELHAM MEDICAL CENTER",4,1,2,2,3,2,2,2
"FAIRVIEW HOSPITAL",5,5,1,3,3,2,2,3
"HILTON HEAD REGIONAL MEDICAL CENTER",2,9,3,2,1,2,1,2
"ADENA REGIONAL MEDICAL CENTER",3,5,2,2,1,2,2,3
"MERCY ST CHARLES HOSPITAL",4,6,2,3,2,2,1,2
"MARY RUTAN HOSPITAL",3,5,2,2,2,2,2,2
"BAPTIST MEMORIAL HOSPITAL UNION CITY",3,5,2,2,2,2,3,2
"MARION GENERAL HOSPITAL",3,5,2,3,2,2,2,2
"ARIA HEALTH",2,5,2,2,1,2,1,3
"JANE PHILLIPS MEMORIAL MEDICAL CENTER, INC",2,5,3,2,2,2,2,2
"EAST COOPER MEDICAL CENTER",4,9,2,2,3,2,3,2
"SAINT FRANCIS HOSPITAL SOUTH, LLC",3,5,2,3,2,2,2,2
"METHODIST HEALTHCARE MEMPHIS HOSPITALS",2,6,2,1,2,2,2,3
"CENTRAL CAROLINA HOSPITAL",2,5,2,2,1,2,2,3
"SOIN MEDICAL CENTER",3,5,2,2,3,2,2,2
"NEW HANOVER REGIONAL MEDICAL CENTER",3,2,3,1,3,2,2,3
"FORT LOUDON MEDICAL CENTER",4,7,2,2,2,2,2,2
"WAYNE HOSPITAL",3,5,2,2,2,2,3,2
"MARGARET R PARDEE MEMORIAL HOSPITAL",4,2,2,3,2,2,2,1
"MOREHEAD MEMORIAL HOSPITAL",3,5,2,2,1,2,2,2
"MEMORIAL HOSPITAL",4,7,2,2,2,2,3,2
"SAINT THOMAS RUTHERFORD HOSPITAL",3,6,3,2,2,2,2,3
"MOUNT NITTANY MEDICAL CENTER",4,5,2,3,3,3,2,2
"MARY BLACK HEALTH SYSTEM SPARTANBURG",3,9,2,2,2,2,1,2
"SAINT VINCENT HOSPITAL",3,5,2,1,1,3,3,2
"POMERENE HOSPITAL",4,2,2,2,3,2,3,2
"DELAWARE COUNTY MEMORIAL HOSPITAL",3,5,2,2,1,2,1,1
"COLLETON MEDICAL CENTER",3,9,2,2,2,2,3,2
"PHOENIXVILLE HOSPITAL",3,9,2,2,1,2,1,2
"SPRINGFIELD REGIONAL MEDICAL CENTER",3,5,2,3,1,2,1,2
"SAINT FRANCIS HOSPITAL MUSKOGEE",2,9,2,1,1,2,2,1
"CLAIBORNE MEDICAL CENTER",3,2,2,2,2,2,2,2
"ALLIANCEHEALTH DURANT",3,9,1,3,1,2,3,2
"THE MCDOWELL HOSPITAL",3,5,2,2,3,2,2,2
"CAROLINAS HEALTHCARE SYSTEM PINEVILLE",4,1,2,3,3,2,2,3
"WAKEMED, RALEIGH CAMPUS",3,5,2,1,2,2,1,3
"FIRELANDS REGIONAL MEDICAL CENTER",4,5,2,3,1,2,3,3
"JEWISH HOSPITAL, LLC",4,5,1,3,2,2,2,2
"MEMORIAL HOSPITAL",3,2,2,2,2,2,2,2
"TRISTAR HENDERSONVILLE MEDICAL CENTER",3,7,2,2,2,2,3,2
"BLANCHARD VALLEY HOSPITAL",4,7,2,3,3,2,2,2
"SACRED HEART HOSPITAL",3,5,2,1,1,2,2,2
"SALEM REGIONAL MEDICAL CENTER",3,5,2,2,2,2,2,2
"HILLCREST HOSPITAL CLAREMORE",3,9,2,2,1,2,3,2
"LEHIGH VALLEY HOSPITAL",2,5,1,1,1,2,1,2
"ANMED HEALTH",3,5,2,2,2,2,1,1
"JACKSON-MADISON COUNTY GENERAL HOSPITAL",3,1,2,1,2,2,2,2
"FRYE REGIONAL MEDICAL CENTER",3,9,3,3,2,2,2,3
"NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER",3,5,2,1,2,2,2,3
"ST JOHN BROKEN ARROW, INC",4,5,2,2,3,2,2,2
"IREDELL MEMORIAL HOSPITAL INC",3,5,2,2,2,2,2,2
"JACKSON COUNTY MEMORIAL HOSPITAL AUTHORITY",3,1,2,2,3,2,3,1
"SALEM HOSPITAL",3,7,2,2,3,1,1,2
"MERCY HOSPITAL ANDERSON",4,5,1,3,3,2,2,2
"ALLEGHENY GENERAL HOSPITAL",1,7,2,1,1,1,1,2
"BAY AREA HOSPITAL",1,1,3,1,1,1,2,3
"ST JOSEPH REGIONAL HEALTH CENTER",3,5,3,3,2,2,2,2
"MOTHER FRANCES HOSPITAL",4,6,2,3,3,2,2,1
"GHS GREENVILLE MEMORIAL HOSPITAL",4,5,3,3,2,2,1,2
"JEFFERSON HOSPITAL",4,5,2,3,2,2,2,2
"BETSY JOHNSON REGIONAL  HOSPITAL",3,5,2,3,2,2,1,2
"TEMPLE UNIVERSITY HOSPITAL",2,5,2,1,1,2,1,2
"TRMC OF ORANGEBURG & CALHOUN",2,2,2,1,1,2,2,2
"CHAMBERSBURG HOSPITAL",3,5,1,2,2,2,2,2
"WILSON MEMORIAL HOSPITAL",3,5,2,2,2,3,3,2
"PARKRIDGE MEDICAL CENTER",3,9,2,3,2,2,2,2
"OHIOHEALTH MANSFIELD HOSPITAL",2,5,3,2,2,2,2,3
"ST FRANCIS HOSPITAL",3,9,2,3,1,2,2,2
"WILLIAMSON MEDICAL CENTER",4,1,2,2,3,2,3,2
"TENNOVA HEALTHCARE-NEWPORT MEDICAL CENTER",3,6,2,2,2,2,3,2
"TRINITY HOSPITALS",1,5,3,1,1,2,2,2
"CHI ST ALEXIUS HEALTH BISMARCK",4,5,2,3,2,2,2,1
"GHS OCONEE MEMORIAL  HOSPITAL",3,5,2,1,2,2,3,2
"GOOD SHEPHERD MEDICAL CENTER",3,5,3,3,2,2,2,2
"UNITED REGIONAL HEALTH CARE SYSTEM",4,5,3,3,3,2,2,2
"UPMC MERCY",2,5,2,1,1,2,2,2
"TENNOVA HEALTHCARE-DYERSBURG REGIONAL",2,9,2,2,1,2,3,3
"UPMC HORIZON",3,5,2,3,1,3,2,2
"ST CLAIR HOSPITAL",4,5,2,2,3,3,3,2
"J C BLAIR MEMORIAL HOSPITAL",4,7,2,2,3,2,3,2
"MERCY REGIONAL MEDICAL CENTER",4,5,1,3,1,2,2,2
"SOUTHERN OHIO MEDICAL CENTER",4,7,2,3,3,2,3,2
"JAMESON MEMORIAL HOSPITAL",3,7,2,2,1,2,3,1
"MEMORIAL HEALTHCARE SYSTEM, INC",4,6,1,3,3,2,1,1
"SACRED HEART MEDICAL CENTER - RIVERBEND",3,5,3,2,1,2,2,2
"TRUMBULL MEMORIAL HOSPITAL",4,9,1,3,1,2,2,2
"ALLIANCEHEALTH MIDWEST",2,9,1,1,1,2,2,2
"GHS GREER MEMORIAL HOSPITAL",5,5,2,3,3,2,2,2
"MERCY ST VINCENT MEDICAL CENTER",2,6,2,1,2,2,2,2
"UPMC ST MARGARET",4,5,1,2,2,3,2,2
"MEMORIAL HOSPITAL",2,5,2,1,1,2,1,1
"BELLEVUE HOSPITAL",4,7,2,2,3,1,3,2
"BRADFORD REGIONAL MEDICAL CENTER",3,5,2,2,1,2,3,2
"WELLSPAN EPHRATA COMMUNITY HOSPITAL",3,7,2,1,1,2,1,1
"EAST TEXAS MEDICAL CENTER",3,5,2,3,1,2,2,2
"LICKING MEMORIAL HOSPITAL",3,5,3,3,2,2,2,3
"AVERA ST LUKES",5,6,1,3,3,2,3,2
"TOLEDO HOSPITAL THE",4,5,1,2,2,2,2,2
"SCOTT & WHITE MEDICAL CENTER - TEMPLE",4,5,1,3,3,3,1,3
"TENNOVA HEALTHCARE-LAFOLLETT MEDICAL CENTER",2,6,3,2,1,2,2,2
"AVERA QUEEN OF PEACE",4,6,2,2,3,2,3,2
"NORMAN REGIONAL HEALTH SYSTEM",4,1,2,3,2,2,2,1
"KENT COUNTY MEMORIAL HOSPITAL",3,9,2,2,1,2,1,2
"WAYNE MEMORIAL HOSPITAL",2,5,3,3,2,2,1,1
"MILTON S HERSHEY MEDICAL CENTER",3,7,2,1,2,2,1,2
"TRISTAR SKYLINE MEDICAL CENTER",2,5,2,3,1,2,2,2
"WEST CHESTER HOSPITAL, LLC",4,5,1,3,3,2,2,2
"UNIVERSITY OF TEXAS MEDICAL BRANCH",2,3,2,2,2,1,1,1
"SYCAMORE MEDICAL CENTER",4,6,2,2,3,2,3,2
"SOUTH COUNTY HOSPITAL INC",5,5,2,3,3,2,2,2
"TRISTAR CENTENNIAL MEDICAL CENTER",3,9,2,3,3,3,2,2
"ST JOSEPH MEDICAL CENTER",2,6,2,1,1,2,1,1
"TRINITY MEDICAL CTR EAST &TRINITY MEDICAL CTR WEST",4,7,2,3,2,2,2,2
"NORTH HILLS HOSPITAL",4,9,2,3,3,2,2,2
"MUSC MEDICAL CENTER",2,3,2,1,3,2,2,2
"KNOX COMMUNITY HOSPITAL",3,7,2,3,2,2,2,2
"CONWAY MEDICAL CENTER",4,5,2,3,2,2,2,2
"VIDANT MEDICAL CENTER",2,5,3,1,3,2,1,3
"BLUE MOUNTAIN HOSPITAL-GNADEN HUETTEN CAMPUS",2,5,2,2,1,2,2,2
"ESSENTIA HEALTH-FARGO",4,5,2,3,2,2,3,2
"MARYMOUNT HOSPITAL",4,5,1,2,2,2,2,2
